id,foreigner,x,y,crs
124,1,4234500,3338500,4326
125,0,4107500,3114500,4326
126,0,4556500,3495500,4326
127,0,4364500,3044500,4326
128,0,4201500,3139500,4326
129,0,4257500,2913500,4326
130,0,4361500,3112500,4326
131,0,4206500,3077500,4326
132,0,4138500,3093500,4326
133,1,4519500,2740500,4326
134,0,4312500,3374500,4326
135,1,4418500,2746500,4326
136,0,4362500,3145500,4326
137,1,4243500,2851500,4326
138,0,4163500,2756500,4326
139,1,4336500,3380500,4326
140,1,4293500,3248500,4326
141,1,4259500,3111500,4326
142,0,4294500,3306500,4326
143,1,4542500,3278500,4326
144,0,4514500,3298500,4326
145,0,4570500,2834500,4326
146,1,4263500,3185500,4326
147,1,4141500,3144500,4326
148,0,4397500,2915500,4326
149,0,4329500,3283500,4326
150,0,4470500,2900500,4326
151,1,4549500,3270500,4326
152,0,4397500,2928500,4326
153,1,4084500,2973500,4326
154,0,4458500,2743500,4326
155,0,4435500,3218500,4326
156,0,4553500,3270500,4326
157,0,4530500,3277500,4326
158,0,4467500,2989500,4326
159,0,4361500,3112500,4326
160,0,4210500,2930500,4326
161,0,4514500,3414500,4326
162,0,4589500,3158500,4326
163,1,4219500,2927500,4326
164,0,4521500,3426500,4326
165,0,4193500,3286500,4326
166,0,4297500,3039500,4326
167,1,4278500,3102500,4326
168,0,4162500,2775500,4326
169,0,4200500,2974500,4326
170,0,4279500,2895500,4326
171,0,4549500,3278500,4326
172,0,4065500,3187500,4326
173,0,4336500,2955500,4326
174,0,4450500,3443500,4326
175,0,4293500,2988500,4326
176,1,4207500,2931500,4326
177,0,4147500,3129500,4326
178,0,4094500,3130500,4326
179,0,4369500,2949500,4326
180,0,4144500,2750500,4326
181,0,4140500,3154500,4326
182,0,4537500,2862500,4326
183,0,4274500,3276500,4326
184,0,4383500,3219500,4326
185,0,4316500,2803500,4326
186,1,4377500,2804500,4326
187,0,4309500,3136500,4326
188,0,4256500,3200500,4326
189,0,4578500,3119500,4326
190,0,4133500,3404500,4326
191,0,4412500,3088500,4326
192,0,4171500,3179500,4326
193,1,4233500,2877500,4326
194,0,4247500,3053500,4326
195,0,4121500,3266500,4326
196,1,4549500,3263500,4326
197,0,4340500,3133500,4326
198,0,4351500,3247500,4326
199,0,4409500,3395500,4326
200,1,4149500,3028500,4326
201,0,4486500,3341500,4326
202,0,4156500,2932500,4326
203,1,4099500,3130500,4326
204,1,4451500,2838500,4326
205,0,4450500,2748500,4326
206,0,4200500,3342500,4326
207,1,4053500,3192500,4326
208,0,4252500,3090500,4326
209,0,4134500,3033500,4326
210,0,4201500,3060500,4326
211,0,4347500,3370500,4326
212,0,4348500,2963500,4326
213,1,4235500,3016500,4326
214,0,4339500,3238500,4326
215,0,4363500,2988500,4326
216,1,4216500,2909500,4326
217,1,4549500,3263500,4326
218,0,4479500,3340500,4326
219,0,4048500,3101500,4326
220,0,4478500,2953500,4326
221,1,4106500,3096500,4326
222,0,4219500,3052500,4326
223,0,4241500,2844500,4326
224,0,4162500,2985500,4326
225,1,4167500,3149500,4326
226,0,4372500,2868500,4326
227,0,4229500,3242500,4326
228,0,4524500,3080500,4326
229,1,4403500,2928500,4326
230,0,4361500,3112500,4326
231,0,4289500,3466500,4326
232,0,4281500,3132500,4326
233,0,4363500,2988500,4326
234,1,4336500,3374500,4326
235,0,4588500,3109500,4326
236,0,4452500,3157500,4326
237,0,4389500,2980500,4326
238,0,4344500,3229500,4326
239,0,4468500,3346500,4326
240,0,4124500,3057500,4326
241,0,4398500,2771500,4326
242,1,4124500,3122500,4326
243,1,4171500,3125500,4326
244,1,4095500,3116500,4326
245,0,4291500,3254500,4326
246,1,4112500,3158500,4326
247,1,4512500,2840500,4326
248,1,4394500,3097500,4326
249,0,4250500,2992500,4326
250,1,4260500,2974500,4326
251,1,4194500,2998500,4326
252,0,4232500,2763500,4326
253,0,4266500,2841500,4326
254,1,4192500,2859500,4326
255,1,4475500,2828500,4326
256,0,4284500,3409500,4326
257,0,4115500,3119500,4326
258,1,4217500,3001500,4326
259,0,4181500,3147500,4326
260,0,4082500,2921500,4326
261,1,4231500,3036500,4326
262,0,4188500,2941500,4326
263,0,4119500,3159500,4326
264,0,4401500,2960500,4326
265,0,4209500,3200500,4326
266,0,4427500,2848500,4326
267,0,4209500,3278500,4326
268,1,4263500,2853500,4326
269,0,4230500,2872500,4326
270,0,4393500,3096500,4326
271,0,4314500,3389500,4326
272,1,4534500,3273500,4326
273,0,4477500,3119500,4326
274,1,4458500,3122500,4326
275,0,4435500,3086500,4326
276,0,4608500,3135500,4326
277,0,4301500,2748500,4326
278,0,4498500,3111500,4326
279,0,4514500,3335500,4326
280,0,4360500,3449500,4326
281,0,4373500,3256500,4326
282,0,4175500,3177500,4326
283,0,4201500,2974500,4326
284,0,4195500,2966500,4326
285,0,4521500,3070500,4326
286,0,4212500,2800500,4326
287,1,4526500,2750500,4326
288,1,4256500,2915500,4326
289,0,4232500,3224500,4326
290,0,4427500,2851500,4326
291,1,4499500,3120500,4326
292,0,4267500,2982500,4326
293,0,4346500,3369500,4326
294,1,4451500,2838500,4326
295,0,4196500,3027500,4326
296,0,4179500,2837500,4326
297,0,4392500,3175500,4326
298,0,4438500,3152500,4326
299,0,4152500,2797500,4326
300,1,4290500,2745500,4326
301,0,4608500,3156500,4326
302,0,4149500,3046500,4326
303,0,4343500,3133500,4326
304,0,4168500,2927500,4326
305,0,4525500,3267500,4326
306,1,4383500,2819500,4326
307,0,4283500,3265500,4326
308,0,4363500,3151500,4326
309,1,4065500,3131500,4326
310,1,4265500,2892500,4326
311,1,4248500,2843500,4326
312,0,4112500,3161500,4326
313,0,4481500,2985500,4326
314,0,4097500,3128500,4326
315,0,4121500,3074500,4326
316,0,4492500,3134500,4326
317,1,4462500,2774500,4326
318,1,4202500,2881500,4326
319,0,4584500,3281500,4326
320,0,4521500,2901500,4326
321,0,4412500,3087500,4326
322,0,4209500,3188500,4326
323,1,4112500,3103500,4326
324,0,4060500,3160500,4326
325,1,4283500,2810500,4326
326,0,4352500,2830500,4326
327,1,4192500,2866500,4326
328,0,4233500,2999500,4326
329,0,4493500,2987500,4326
330,0,4237500,3203500,4326
331,0,4102500,2982500,4326
332,0,4321500,3400500,4326
333,0,4587500,3410500,4326
334,0,4522500,3426500,4326
335,0,4188500,2926500,4326
336,0,4379500,2953500,4326
337,0,4223500,2862500,4326
338,0,4300500,2753500,4326
339,0,4554500,3277500,4326
340,1,4150500,3027500,4326
341,0,4129500,3020500,4326
342,0,4150500,3357500,4326
343,0,4158500,2919500,4326
344,0,4097500,2952500,4326
345,0,4284500,3110500,4326
346,0,4588500,3110500,4326
347,0,4425500,2823500,4326
348,1,4232500,3014500,4326
349,0,4509500,2790500,4326
350,0,4473500,2791500,4326
351,0,4498500,3082500,4326
352,0,4515500,3347500,4326
353,1,4256500,3449500,4326
354,0,4135500,2914500,4326
355,0,4058500,3189500,4326
356,0,4096500,2982500,4326
357,0,4376500,2954500,4326
358,0,4426500,2780500,4326
359,0,4438500,2782500,4326
360,0,4420500,3166500,4326
361,0,4461500,2752500,4326
362,1,4556500,3277500,4326
363,0,4224500,3236500,4326
364,0,4128500,3067500,4326
365,0,4505500,2778500,4326
366,0,4113500,3122500,4326
367,0,4587500,2845500,4326
368,0,4445500,2773500,4326
369,0,4298500,2892500,4326
370,0,4262500,3060500,4326
371,0,4476500,2938500,4326
372,0,4093500,3137500,4326
373,0,4199500,2905500,4326
374,0,4187500,2851500,4326
375,0,4158500,2764500,4326
376,1,4446500,2895500,4326
377,1,4195500,2996500,4326
378,0,4578500,3311500,4326
379,0,4093500,3166500,4326
380,0,4297500,3479500,4326
381,0,4157500,2765500,4326
382,1,4433500,2778500,4326
383,0,4144500,3151500,4326
384,0,4362500,2989500,4326
385,0,4236500,3232500,4326
386,0,4312500,3390500,4326
387,0,4116500,2917500,4326
388,0,4215500,2911500,4326
389,0,4533500,2755500,4326
390,0,4444500,3093500,4326
391,0,4413500,2959500,4326
392,1,4127500,3052500,4326
393,0,4168500,2927500,4326
394,0,4473500,2900500,4326
395,0,4420500,2991500,4326
396,0,4130500,3123500,4326
397,0,4594500,3123500,4326
398,0,4608500,3138500,4326
399,0,4528500,3278500,4326
400,0,4238500,3012500,4326
401,0,4437500,2797500,4326
402,0,4194500,2925500,4326
403,0,4567500,3444500,4326
404,0,4049500,3092500,4326
405,1,4555500,3273500,4326
406,0,4144500,3157500,4326
407,0,4163500,2774500,4326
408,0,4286500,3133500,4326
409,0,4110500,3069500,4326
410,0,4177500,3052500,4326
411,0,4141500,3140500,4326
412,0,4585500,3384500,4326
413,0,4299500,2984500,4326
414,0,4129500,3123500,4326
415,0,4269500,2905500,4326
416,0,4116500,3164500,4326
417,1,4210500,3278500,4326
418,0,4232500,3280500,4326
419,0,4234500,3294500,4326
420,1,4551500,3255500,4326
421,0,4203500,2876500,4326
422,0,4358500,3424500,4326
423,0,4521500,2901500,4326
424,0,4305500,2936500,4326
425,0,4072500,3123500,4326
426,0,4171500,3342500,4326
427,1,4240500,2796500,4326
428,0,4313500,2754500,4326
429,1,4454500,3152500,4326
430,1,4388500,3081500,4326
431,0,4079500,3140500,4326
432,1,4264500,2816500,4326
433,0,4279500,3023500,4326
434,1,4126500,3133500,4326
435,0,4180500,3232500,4326
436,0,4474500,2751500,4326
437,1,4047500,3083500,4326
438,0,4531500,3276500,4326
439,0,4375500,3087500,4326
440,0,4407500,3114500,4326
441,1,4441500,2778500,4326
442,1,4316500,3103500,4326
443,1,4422500,2851500,4326
444,0,4446500,2968500,4326
445,0,4200500,2904500,4326
446,0,4409500,3397500,4326
447,1,4226500,3253500,4326
448,0,4420500,3217500,4326
449,0,4195500,3250500,4326
450,0,4555500,3281500,4326
451,0,4324500,3394500,4326
452,1,4090500,3110500,4326
453,0,4540500,3102500,4326
454,1,4127500,3162500,4326
455,0,4343500,3452500,4326
456,0,4100500,3090500,4326
457,0,4458500,3152500,4326
458,1,4174500,3086500,4326
459,0,4338500,3402500,4326
460,1,4135500,3146500,4326
461,0,4538500,3351500,4326
462,0,4458500,3150500,4326
463,0,4505500,3221500,4326
464,0,4411500,2789500,4326
465,1,4404500,2945500,4326
466,0,4359500,3164500,4326
467,1,4404500,2936500,4326
468,0,4366500,3126500,4326
469,0,4258500,2808500,4326
470,0,4147500,3130500,4326
471,0,4369500,2909500,4326
472,0,4270500,3017500,4326
473,0,4581500,2861500,4326
474,1,4257500,3231500,4326
475,0,4241500,3328500,4326
476,0,4124500,3262500,4326
477,0,4220500,2895500,4326
478,1,4307500,3262500,4326
479,0,4486500,3311500,4326
480,1,4284500,3133500,4326
481,0,4550500,3265500,4326
482,0,4241500,2762500,4326
483,0,4316500,3102500,4326
484,1,4103500,3161500,4326
485,0,4388500,2805500,4326
486,0,4536500,3225500,4326
487,0,4244500,2761500,4326
488,0,4235500,2997500,4326
489,0,4210500,2970500,4326
490,0,4335500,3360500,4326
491,0,4545500,3260500,4326
492,0,4408500,3267500,4326
493,0,4554500,3276500,4326
494,0,4206500,2724500,4326
495,0,4439500,2988500,4326
496,0,4081500,3114500,4326
497,1,4511500,3315500,4326
498,1,4225500,2924500,4326
499,0,4350500,2827500,4326
500,0,4209500,3170500,4326
501,0,4225500,3254500,4326
502,0,4253500,3233500,4326
503,0,4216500,3082500,4326
504,0,4460500,2788500,4326
505,0,4231500,2848500,4326
506,1,4302500,2987500,4326
507,0,4429500,3227500,4326
508,0,4273500,3096500,4326
509,1,4204500,2858500,4326
510,0,4617500,3156500,4326
511,0,4238500,3102500,4326
512,0,4211500,3009500,4326
513,0,4135500,2914500,4326
514,0,4489500,3136500,4326
515,1,4191500,3385500,4326
516,0,4606500,3137500,4326
517,1,4305500,3135500,4326
518,1,4317500,3404500,4326
519,0,4175500,2839500,4326
520,0,4214500,3006500,4326
521,0,4149500,2758500,4326
522,0,4393500,2927500,4326
523,0,4135500,3377500,4326
524,0,4320500,3370500,4326
525,1,4316500,3159500,4326
526,0,4310500,3392500,4326
527,0,4346500,2861500,4326
528,0,4193500,3128500,4326
529,1,4357500,3235500,4326
530,0,4423500,2851500,4326
531,0,4376500,2954500,4326
532,0,4140500,2771500,4326
533,0,4546500,2728500,4326
534,0,4247500,2844500,4326
535,0,4361500,3375500,4326
536,0,4116500,3190500,4326
537,1,4111500,3155500,4326
538,1,4317500,3413500,4326
539,0,4268500,2840500,4326
540,0,4130500,3076500,4326
541,0,4218500,2803500,4326
542,1,4514500,2764500,4326
543,0,4425500,3171500,4326
544,0,4586500,3164500,4326
545,0,4138500,3236500,4326
546,0,4374500,3159500,4326
547,0,4233500,2791500,4326
548,0,4188500,2866500,4326
549,0,4361500,3112500,4326
550,0,4394500,2796500,4326
551,0,4133500,3403500,4326
552,1,4168500,2759500,4326
553,0,4521500,3081500,4326
554,0,4334500,3361500,4326
555,0,4552500,3276500,4326
556,0,4551500,3264500,4326
557,0,4537500,3087500,4326
558,1,4340500,3129500,4326
559,1,4132500,3403500,4326
560,0,4269500,2905500,4326
561,0,4516500,3350500,4326
562,0,4212500,3188500,4326
563,1,4272500,2846500,4326
564,0,4340500,2875500,4326
565,0,4446500,3286500,4326
566,0,4106500,3093500,4326
567,0,4329500,3363500,4326
568,1,4181500,3152500,4326
569,0,4232500,3047500,4326
570,0,4196500,2931500,4326
571,0,4170500,3341500,4326
572,0,4575500,3115500,4326
573,0,4288500,3242500,4326
574,0,4486500,3137500,4326
575,0,4242500,3182500,4326
576,1,4538500,3275500,4326
577,0,4458500,3152500,4326
578,0,4231500,3241500,4326
579,1,4574500,3308500,4326
580,1,4098500,3124500,4326
581,0,4241500,3332500,4326
582,0,4580500,3108500,4326
583,0,4280500,2763500,4326
584,0,4220500,2926500,4326
585,0,4360500,3164500,4326
586,0,4283500,3265500,4326
587,0,4562500,2881500,4326
588,0,4332500,3382500,4326
589,0,4152500,2797500,4326
590,0,4581500,2861500,4326
591,0,4558500,3267500,4326
592,0,4198500,3337500,4326
593,0,4427500,2722500,4326
594,1,4586500,3106500,4326
595,0,4291500,2719500,4326
596,1,4483500,3138500,4326
597,0,4457500,3142500,4326
598,1,4260500,2861500,4326
599,0,4462500,3161500,4326
600,0,4393500,2962500,4326
601,0,4361500,3112500,4326
602,0,4262500,2851500,4326
603,1,4603500,3384500,4326
604,1,4232500,2884500,4326
605,0,4236500,3021500,4326
606,0,4433500,3125500,4326
607,0,4277500,2862500,4326
608,0,4183500,2956500,4326
609,0,4280500,2847500,4326
610,0,4552500,3269500,4326
611,0,4425500,3241500,4326
612,0,4318500,2898500,4326
613,0,4414500,3083500,4326
614,0,4364500,3145500,4326
615,1,4290500,2745500,4326
616,0,4432500,3093500,4326
617,0,4149500,3162500,4326
618,0,4103500,3112500,4326
619,0,4212500,3189500,4326
620,0,4140500,3023500,4326
621,0,4190500,2967500,4326
622,0,4414500,3392500,4326
623,0,4410500,3150500,4326
624,0,4158500,3011500,4326
625,0,4429500,3227500,4326
626,0,4202500,3206500,4326
627,0,4290500,3255500,4326
628,0,4230500,2880500,4326
629,0,4224500,2864500,4326
630,0,4158500,2780500,4326
631,0,4455500,3155500,4326
632,0,4075500,3127500,4326
633,0,4307500,3094500,4326
634,0,4364500,3044500,4326
635,0,4442500,2783500,4326
636,0,4174500,3175500,4326
637,0,4358500,3404500,4326
638,1,4109500,3230500,4326
639,0,4395500,2910500,4326
640,1,4243500,2852500,4326
641,1,4241500,2851500,4326
642,0,4552500,3253500,4326
643,0,4108500,3148500,4326
644,1,4089500,3108500,4326
645,0,4556500,3272500,4326
646,0,4265500,2872500,4326
647,0,4205500,2772500,4326
648,1,4151500,2794500,4326
649,0,4116500,3051500,4326
650,0,4186500,3311500,4326
651,0,4094500,3014500,4326
652,0,4477500,3119500,4326
653,0,4391500,2961500,4326
654,0,4470500,2845500,4326
655,0,4251500,2991500,4326
656,0,4579500,3364500,4326
657,0,4136500,3159500,4326
658,0,4239500,3056500,4326
659,0,4413500,2916500,4326
660,0,4282500,3427500,4326
661,0,4418500,3387500,4326
662,1,4424500,3171500,4326
663,0,4327500,3371500,4326
664,1,4333500,3427500,4326
665,0,4195500,2889500,4326
666,0,4308500,3253500,4326
667,0,4312500,2788500,4326
668,0,4346500,3370500,4326
669,0,4436500,2789500,4326
670,1,4112500,3153500,4326
671,0,4045500,3081500,4326
672,0,4220500,3015500,4326
673,1,4320500,2963500,4326
674,1,4451500,3131500,4326
675,0,4222500,2971500,4326
676,0,4617500,3153500,4326
677,0,4444500,3070500,4326
678,0,4591500,3158500,4326
679,0,4562500,2880500,4326
680,0,4316500,2758500,4326
681,0,4201500,2902500,4326
682,0,4554500,3266500,4326
683,0,4117500,3191500,4326
684,0,4127500,3118500,4326
685,0,4218500,2906500,4326
686,0,4149500,3046500,4326
687,0,4421500,2767500,4326
688,0,4366500,3110500,4326
689,0,4188500,2866500,4326
690,0,4227500,3001500,4326
691,0,4515500,3336500,4326
692,0,4605500,3156500,4326
693,0,4321500,3215500,4326
694,0,4500500,2789500,4326
695,0,4492500,3141500,4326
696,1,4334500,3381500,4326
697,0,4468500,3166500,4326
698,0,4405500,2744500,4326
699,0,4125500,3173500,4326
700,0,4267500,3184500,4326
701,0,4385500,2817500,4326
702,0,4228500,3381500,4326
703,0,4126500,3032500,4326
704,1,4326500,3389500,4326
705,0,4225500,3231500,4326
706,0,4474500,3152500,4326
707,0,4121500,3265500,4326
708,0,4473500,2955500,4326
709,0,4345500,3239500,4326
710,0,4149500,3046500,4326
711,0,4584500,3380500,4326
712,1,4241500,3329500,4326
713,0,4580500,3110500,4326
714,0,4199500,2999500,4326
715,0,4164500,2764500,4326
716,0,4552500,3255500,4326
717,0,4313500,2754500,4326
718,0,4202500,2728500,4326
719,1,4131500,3224500,4326
720,0,4433500,3094500,4326
721,0,4229500,3219500,4326
722,0,4388500,3080500,4326
723,0,4283500,3266500,4326
724,0,4557500,3273500,4326
725,0,4533500,3212500,4326
726,1,4239500,3329500,4326
727,0,4097500,3081500,4326
728,0,4174500,3348500,4326
729,1,4219500,2774500,4326
730,0,4206500,3229500,4326
731,0,4196500,2932500,4326
732,0,4100500,3091500,4326
733,0,4250500,2731500,4326
734,0,4477500,2811500,4326
735,0,4431500,3226500,4326
736,0,4284500,3409500,4326
737,0,4046500,3090500,4326
738,0,4244500,2730500,4326
739,0,4230500,2872500,4326
740,1,4538500,3275500,4326
741,0,4537500,2863500,4326
742,0,4259500,3300500,4326
743,0,4261500,2811500,4326
744,0,4138500,3144500,4326
745,0,4438500,3149500,4326
746,1,4242500,2981500,4326
747,0,4169500,2915500,4326
748,0,4094500,3066500,4326
749,0,4398500,2928500,4326
750,0,4162500,2984500,4326
751,0,4317500,3160500,4326
752,1,4320500,2963500,4326
753,0,4354500,3151500,4326
754,1,4371500,2756500,4326
755,0,4478500,2959500,4326
756,0,4368500,3120500,4326
757,0,4136500,3165500,4326
758,0,4419500,3068500,4326
759,0,4085500,3191500,4326
760,1,4459500,3443500,4326
761,0,4218500,3081500,4326
762,0,4089500,3113500,4326
763,0,4363500,3416500,4326
764,0,4114500,3161500,4326
765,0,4481500,3143500,4326
766,0,4534500,2860500,4326
767,0,4437500,3100500,4326
768,1,4316500,2898500,4326
769,1,4452500,2837500,4326
770,1,4242500,3052500,4326
771,1,4466500,3340500,4326
772,0,4332500,3470500,4326
773,0,4398500,2928500,4326
774,0,4412500,2807500,4326
775,0,4195500,2906500,4326
776,0,4247500,3459500,4326
777,0,4564500,3167500,4326
778,0,4294500,2852500,4326
779,0,4578500,3093500,4326
780,0,4276500,3098500,4326
781,0,4198500,2904500,4326
782,0,4133500,2907500,4326
783,0,4281500,3135500,4326
784,0,4149500,3159500,4326
785,0,4104500,3095500,4326
786,0,4408500,3114500,4326
787,0,4461500,3304500,4326
788,1,4197500,2750500,4326
789,0,4302500,2840500,4326
790,1,4229500,3328500,4326
791,1,4316500,3371500,4326
792,0,4425500,3171500,4326
793,1,4426500,2852500,4326
794,0,4639500,3221500,4326
795,0,4386500,3179500,4326
796,0,4373500,3161500,4326
797,1,4458500,2744500,4326
798,0,4523500,3280500,4326
799,0,4245500,3051500,4326
800,0,4583500,3112500,4326
801,0,4460500,3140500,4326
802,0,4330500,3193500,4326
803,0,4076500,2964500,4326
804,1,4061500,3199500,4326
805,0,4086500,3195500,4326
806,0,4445500,2896500,4326
807,0,4432500,2782500,4326
808,0,4511500,3254500,4326
809,0,4200500,3267500,4326
810,0,4267500,2848500,4326
811,0,4486500,3341500,4326
812,0,4477500,2829500,4326
813,1,4559500,3272500,4326
814,1,4499500,3080500,4326
815,0,4198500,2904500,4326
816,0,4128500,3169500,4326
817,0,4393500,2928500,4326
818,0,4106500,3115500,4326
819,0,4389500,2983500,4326
820,0,4474500,2900500,4326
821,0,4060500,3148500,4326
822,0,4231500,2972500,4326
823,0,4073500,3082500,4326
824,1,4378500,2909500,4326
825,0,4315500,3402500,4326
826,1,4102500,2906500,4326
827,0,4137500,3160500,4326
828,0,4236500,2997500,4326
829,0,4281500,3236500,4326
830,0,4160500,2918500,4326
831,0,4486500,3135500,4326
832,0,4571500,3309500,4326
833,1,4213500,3192500,4326
834,0,4077500,3150500,4326
835,0,4450500,3197500,4326
836,0,4350500,3347500,4326
837,0,4557500,3272500,4326
838,0,4425500,2848500,4326
839,1,4132500,3169500,4326
840,1,4218500,3001500,4326
841,1,4547500,3282500,4326
842,0,4359500,3165500,4326
843,0,4151500,3149500,4326
844,0,4579500,3109500,4326
845,0,4511500,3263500,4326
846,0,4269500,2824500,4326
847,0,4171500,3387500,4326
848,0,4538500,3282500,4326
849,0,4460500,2743500,4326
850,0,4123500,3168500,4326
851,1,4476500,2751500,4326
852,0,4206500,2927500,4326
853,1,4318500,3384500,4326
854,0,4313500,3103500,4326
855,1,4145500,3178500,4326
856,0,4197500,3223500,4326
857,0,4553500,3133500,4326
858,0,4444500,3093500,4326
859,0,4187500,3315500,4326
860,0,4168500,2760500,4326
861,0,4184500,3089500,4326
862,0,4583500,3112500,4326
863,0,4113500,3150500,4326
864,0,4460500,2993500,4326
865,0,4437500,3038500,4326
866,0,4593500,3101500,4326
867,0,4213500,2922500,4326
868,0,4100500,3155500,4326
869,1,4520500,3081500,4326
870,0,4301500,3241500,4326
871,0,4237500,3320500,4326
872,0,4587500,3410500,4326
873,1,4526500,3084500,4326
874,1,4459500,2787500,4326
875,1,4420500,2915500,4326
876,0,4138500,3091500,4326
877,0,4535500,3276500,4326
878,0,4326500,3382500,4326
879,0,4522500,3261500,4326
880,1,4551500,3496500,4326
881,0,4140500,3052500,4326
882,0,4095500,3155500,4326
883,0,4581500,2861500,4326
884,0,4361500,3112500,4326
885,1,4223500,2972500,4326
886,0,4243500,2981500,4326
887,0,4188500,2941500,4326
888,0,4445500,2969500,4326
889,0,4258500,3085500,4326
890,0,4546500,3255500,4326
891,0,4262500,2894500,4326
892,1,4210500,2805500,4326
893,0,4557500,3134500,4326
894,0,4302500,3246500,4326
895,0,4235500,3018500,4326
896,1,4549500,3289500,4326
897,0,4292500,2972500,4326
898,0,4396500,3093500,4326
899,0,4292500,3375500,4326
900,0,4245500,2968500,4326
901,0,4190500,2988500,4326
902,0,4531500,3214500,4326
903,0,4464500,2993500,4326
904,0,4404500,3100500,4326
905,0,4198500,3223500,4326
906,0,4584500,3161500,4326
907,1,4264500,2891500,4326
908,0,4409500,3394500,4326
909,1,4290500,2987500,4326
910,0,4537500,3087500,4326
911,1,4310500,3247500,4326
912,0,4474500,3007500,4326
913,0,4318500,2810500,4326
914,0,4547500,3273500,4326
915,0,4382500,3221500,4326
916,0,4047500,3082500,4326
917,0,4477500,3332500,4326
918,1,4501500,3445500,4326
919,0,4282500,3113500,4326
920,0,4294500,2775500,4326
921,0,4522500,3069500,4326
922,0,4181500,3143500,4326
923,0,4301500,3242500,4326
924,0,4349500,3046500,4326
925,0,4095500,3162500,4326
926,0,4212500,3238500,4326
927,0,4169500,3391500,4326
928,0,4479500,2879500,4326
929,0,4211500,2998500,4326
930,0,4377500,2907500,4326
931,1,4376500,3184500,4326
