age,female,citizenship,income,rent_avg,x,y
42,1,1,3500-4000 €,4.83,4475500,3156500
48,1,1,< 1000 €,6.705,4143500,3158500
56,0,0,3000-3500 €,5.16,4243500,3057500
42,0,1,> 5000 €,5.99,4590500,3253500
49,1,1,2000-2500 €,6.53,4506500,3259500
47,0,1,4500-5000 €,5.24,4170500,2916500
41,0,1,4500-5000 €,7.51,4144500,2750500
42,0,1,2000-2500 €,3.32,4256500,3200500
47,1,1,3000-3500 €,5.99,4150500,3174500
41,1,0,< 1000 €,7.395,4147500,3156500
47,1,1,> 5000 €,5.0600000000000005,4298500,2983500
49,0,1,> 5000 €,10.165,4452500,2730500
46,0,1,4000-4500 €,8.2,4244500,2730500
52,0,0,2000-2500 €,6.3149999999999995,4053500,3091500
43,0,1,4500-5000 €,7.175,4090500,3110500
51,1,1,> 5000 €,7.79,4307500,3261500
30,0,1,< 1000 €,6.76,4457500,3154500
37,1,1,1000-1500 €,8.83,4110500,3096500
49,1,1,> 5000 €,7.949999999999999,4264500,2815500
47,1,1,> 5000 €,6.375,4425500,2841500
51,1,1,4000-4500 €,6.9,4390500,2980500
52,0,1,4500-5000 €,3.395,4454500,3203500
51,1,1,2500-3000 €,7.03,4345500,3239500
43,0,1,3500-4000 €,6.095000000000001,4579500,3309500
45,0,1,1500-2000 €,4.815,4438500,3214500
44,0,1,NA,NA,4218500,2803500
53,1,1,4500-5000 €,5.85,4084500,2973500
49,0,1,3000-3500 €,6.74,4473500,2900500
38,1,1,1500-2000 €,5.545,4562500,3122500
60,0,1,2000-2500 €,5.49,4578500,3311500
46,1,0,< 1000 €,5.705,4127500,3162500
43,0,1,3000-3500 €,10.629999999999999,4262500,2851500
45,0,1,1000-1500 €,7.609999999999999,4357500,3239500
44,0,1,3000-3500 €,4.03,4267500,3184500
44,1,1,> 5000 €,6.51,4511500,3263500
40,1,1,NA,NA,4582500,3379500
32,0,1,> 5000 €,8.33,4312500,2788500
44,1,1,> 5000 €,7.705,4415500,2842500
57,1,1,4000-4500 €,4.42,4361500,3112500
39,0,1,4500-5000 €,7.775,4200500,2974500
38,1,1,4500-5000 €,7.33,4230500,2879500
45,1,1,2000-2500 €,7.0649999999999995,4361500,3375500
42,1,1,2500-3000 €,5.225,4593500,3101500
44,0,1,3500-4000 €,5.97,4195500,3250500
43,0,0,< 1000 €,8.785,4552500,3276500
46,0,1,4000-4500 €,6.58,4199500,2905500
40,0,1,1500-2000 €,9.5,4194500,2988500
34,0,1,1000-1500 €,8.03,4432500,3224500
42,1,1,4000-4500 €,6.115,4154500,3358500
48,0,1,2500-3000 €,3.87,4364500,3119500
37,1,1,2500-3000 €,6.87,4432500,2823500
40,1,0,1000-1500 €,7.705,4424500,2852500
27,1,1,4500-5000 €,7.045,4242500,2981500
34,1,0,1000-1500 €,6.380000000000001,4300500,3348500
47,0,1,> 5000 €,6.755,4269500,2905500
48,1,0,> 5000 €,6.630000000000001,4196500,2857500
52,1,1,2000-2500 €,6.46,4463500,3158500
45,1,0,3000-3500 €,8.29,4277500,2862500
45,0,1,> 5000 €,5.4,4207500,2820500
52,0,1,3000-3500 €,8.945,4403500,2928500
45,0,1,1500-2000 €,6.33,4094500,3066500
33,1,1,> 5000 €,7.08,4526500,2750500
53,1,1,> 5000 €,5.03,4253500,3052500
48,0,0,2000-2500 €,5.155,4278500,3102500
46,0,1,4500-5000 €,5.91,4358500,3404500
43,1,1,< 1000 €,4.93,4439500,3212500
39,1,1,1500-2000 €,5.31,4594500,3123500
45,1,1,2500-3000 €,8.95,4259500,2860500
39,1,1,3000-3500 €,7.215,4287500,2854500
49,1,1,1000-1500 €,6.35,4588500,3107500
64,1,1,< 1000 €,5.23,4579500,3362500
46,1,0,< 1000 €,5.745,4489500,3141500
33,1,1,2000-2500 €,5.654999999999999,4116500,2918500
56,0,0,4000-4500 €,4.09,4135500,2914500
47,1,1,4000-4500 €,4.42,4361500,3112500
45,1,1,4000-4500 €,7.83,4201500,2974500
40,1,1,< 1000 €,5.42,4573500,3309500
58,0,1,3500-4000 €,5.78,4169500,2842500
43,0,0,2000-2500 €,7.8149999999999995,4100500,3090500
46,0,1,4500-5000 €,3.8850000000000002,4318500,3097500
40,0,1,2000-2500 €,7.375,4232500,2763500
46,1,1,> 5000 €,5.74,4447500,2864500
39,1,0,> 5000 €,10.095,4202500,2991500
32,0,0,2000-2500 €,6.52,4197500,3223500
39,0,1,> 5000 €,7.49,4346500,2877500
50,1,1,> 5000 €,8.85,4460500,2743500
44,0,1,2500-3000 €,5.234999999999999,4182500,3147500
50,0,1,1500-2000 €,8.129999999999999,4456500,3449500
50,0,1,3500-4000 €,4.625,4232500,3281500
41,1,1,1500-2000 €,7.29,4144500,3157500
58,1,1,1000-1500 €,5.5649999999999995,4458500,3150500
46,1,1,1000-1500 €,7.49,4555500,3259500
40,1,1,< 1000 €,4.720000000000001,4486500,3341500
45,1,1,3000-3500 €,7.6850000000000005,4261500,2824500
46,1,1,> 5000 €,6.390000000000001,4340500,2875500
45,1,1,NA,NA,4540500,3351500
41,0,1,4500-5000 €,6.79,4461500,2826500
42,1,1,3500-4000 €,8.940000000000001,4321500,3400500
48,1,0,4500-5000 €,7.46,4214500,2921500
45,0,0,4000-4500 €,5.74,4087500,2915500
40,0,1,< 1000 €,6.484999999999999,4147500,3158500
39,1,1,> 5000 €,6.03,4533500,2755500
42,1,1,3000-3500 €,5.425,4149500,3080500
50,0,1,1500-2000 €,6.77,4514500,2764500
48,0,1,1500-2000 €,5.345000000000001,4564500,3421500
47,1,1,> 5000 €,4.03,4602500,3115500
60,1,1,1000-1500 €,4.78,4515500,3073500
49,0,1,1500-2000 €,4.99,4498500,3111500
43,1,1,4000-4500 €,6.92,4280500,2896500
45,1,1,1500-2000 €,4.970000000000001,4545500,3168500
51,0,1,2500-3000 €,6.78,4504500,3288500
44,1,1,3500-4000 €,4.79,4340500,3129500
44,1,1,3000-3500 €,4.66,4158500,3011500
42,0,1,4000-4500 €,6.7,4399500,2910500
47,0,1,2500-3000 €,5.63,4241500,3233500
39,1,1,< 1000 €,6.315,4486500,3135500
39,0,1,1500-2000 €,5.16,4501500,3083500
48,0,1,2500-3000 €,5.255000000000001,4363500,2988500
47,1,0,4500-5000 €,5.245,4207500,3252500
41,1,1,3500-4000 €,6.44,4221500,2806500
44,0,1,1000-1500 €,4.695,4425500,3173500
38,0,1,4500-5000 €,11.85,4421500,2767500
47,0,1,< 1000 €,4.904999999999999,4520500,3426500
43,0,1,4500-5000 €,7.575,4279500,2848500
44,1,1,4000-4500 €,8.085,4263500,2902500
46,1,1,2500-3000 €,7.875,4407500,2865500
42,1,0,3500-4000 €,3,4522500,2822500
32,1,0,NA,NA,4301500,3242500
46,1,1,3500-4000 €,6.4350000000000005,4301500,2748500
42,1,0,2500-3000 €,13.045,4436500,2779500
51,0,1,4500-5000 €,4.85,4129500,3020500
29,1,0,1000-1500 €,5.275,4246500,3240500
44,1,0,3000-3500 €,7.12,4143500,2928500
48,0,1,1500-2000 €,6.0649999999999995,4332500,2958500
48,1,1,1000-1500 €,5.215,4454500,3154500
38,0,1,1500-2000 €,10.370000000000001,4096500,3129500
47,1,1,1500-2000 €,8.635,4260500,2984500
44,1,1,3000-3500 €,5.255,4425500,3171500
42,0,1,< 1000 €,6.295,4458500,3152500
52,0,1,< 1000 €,6.91,4555500,3264500
51,0,0,4000-4500 €,4.88,4385500,3180500
56,1,0,4500-5000 €,6.47,4288500,3242500
47,1,1,4500-5000 €,8.455,4221500,2955500
35,0,0,3500-4000 €,13.385000000000002,4434500,2786500
39,1,1,2500-3000 €,10.615,4161500,2766500
33,1,1,2000-2500 €,7.29,4204500,3291500
42,0,1,1500-2000 €,6.1850000000000005,4127500,3118500
49,1,1,1000-1500 €,5.025,4605500,3156500
45,1,1,4000-4500 €,5.3,4336500,2856500
36,0,1,3000-3500 €,5.25,4225500,3254500
54,1,1,4500-5000 €,4.53,4220500,3083500
37,1,1,1000-1500 €,6.279999999999999,4120500,3175500
42,1,1,4500-5000 €,5.605,4166500,3041500
49,1,1,1000-1500 €,6.734999999999999,4456500,3445500
55,1,1,1500-2000 €,6.220000000000001,4147500,3091500
45,1,1,> 5000 €,6.755,4269500,2905500
48,0,1,3000-3500 €,10.59,4255500,2847500
35,1,1,> 5000 €,10.475,4158500,2764500
56,1,1,3500-4000 €,4.89,4115500,3007500
39,0,1,2000-2500 €,7.295,4350500,3347500
44,0,1,3000-3500 €,4.765,4212500,3238500
43,1,1,< 1000 €,4.825,4466500,3340500
46,1,0,3500-4000 €,7.4,4216500,2909500
57,0,1,3000-3500 €,7.97,4552500,3252500
53,1,1,NA,NA,4165500,3181500
44,0,1,> 5000 €,3.74,4363500,3151500
42,1,1,< 1000 €,5.635,4168500,3177500
57,0,1,3000-3500 €,5.18,4194500,3245500
49,1,1,1500-2000 €,5.17,4360500,3164500
40,0,1,< 1000 €,7.075,4076500,2964500
45,1,1,3000-3500 €,6.305,4249500,2959500
49,1,1,2000-2500 €,5.885,4125500,3176500
52,1,1,1500-2000 €,8.82,4326500,3389500
50,1,1,2000-2500 €,5.4399999999999995,4116500,3164500
54,0,1,< 1000 €,4.94,4522500,3426500
53,1,1,3500-4000 €,6.65,4568500,3266500
54,0,1,< 1000 €,5.835,4587500,3410500
44,0,1,4000-4500 €,7.08,4087500,2973500
46,1,1,3500-4000 €,9.07,4458500,2756500
48,1,1,2000-2500 €,5.33,4116500,2917500
41,1,1,1000-1500 €,9.215,4475500,2878500
40,1,1,< 1000 €,8.285,4558500,3267500
40,1,1,NA,NA,4495500,3437500
46,0,1,2500-3000 €,9.875,4423500,2851500
52,0,1,2000-2500 €,4.295,4517500,3055500
38,1,0,2500-3000 €,10.629999999999999,4116500,3072500
48,0,1,3000-3500 €,5.555,4505500,3221500
51,0,1,2500-3000 €,4.54,4586500,3164500
41,1,1,3500-4000 €,7.390000000000001,4302500,2840500
44,1,1,4500-5000 €,5.845000000000001,4226500,2885500
45,0,1,4000-4500 €,5.65,4075500,3071500
43,1,1,2000-2500 €,7.945,4152500,3207500
52,1,1,< 1000 €,5.725,4135500,3137500
36,0,1,> 5000 €,5.36,4214500,2802500
40,1,1,3000-3500 €,10.95,4430500,2790500
45,0,1,> 5000 €,6.74,4230500,2872500
33,1,1,4000-4500 €,7.645,4431500,2822500
41,1,1,4500-5000 €,7.62,4257500,2999500
40,1,0,1000-1500 €,7.175,4545500,3260500
47,1,1,< 1000 €,4.805,4521500,3426500
37,0,0,3000-3500 €,7.3100000000000005,4093500,3081500
45,1,1,4000-4500 €,6.335,4283500,2810500
41,1,1,> 5000 €,9.295,4458500,2744500
52,1,1,4500-5000 €,6,4500500,2789500
46,0,0,1000-1500 €,8.84,4528500,3259500
40,0,1,4000-4500 €,5.52,4089500,3171500
40,0,1,1000-1500 €,6.895,4233500,3178500
48,1,1,> 5000 €,6.19,4289500,3466500
51,0,1,2000-2500 €,7.04,4418500,2920500
38,0,1,4000-4500 €,5.79,4334500,2853500
34,1,1,< 1000 €,6.945,4486500,3137500
49,1,1,3000-3500 €,5.4,4239500,3052500
46,1,1,4000-4500 €,6.665,4218500,3053500
48,0,1,NA,NA,4462500,3241500
58,0,1,2000-2500 €,6.57,4115500,3119500
44,0,1,3000-3500 €,6.82,4216500,2889500
41,1,1,4500-5000 €,7.2,4264500,2906500
34,0,1,3000-3500 €,6.96,4385500,2817500
43,1,1,3000-3500 €,4.42,4267500,3189500
47,0,1,< 1000 €,7.08,4385500,2977500
35,1,1,2500-3000 €,5.465,4181500,3147500
38,1,1,4500-5000 €,5.07,4288500,3467500
34,1,1,> 5000 €,5.76,4511500,2792500
49,1,1,2500-3000 €,8.655,4438500,2739500
55,1,0,> 5000 €,7.13,4512500,2763500
49,0,1,1000-1500 €,6.095000000000001,4586500,3106500
52,0,1,4000-4500 €,5.8,4231500,2944500
43,1,1,4000-4500 €,4.435,4380500,3087500
50,0,0,2500-3000 €,6.43,4418500,3387500
41,0,1,< 1000 €,7.685,4556500,3277500
44,0,1,< 1000 €,5.835,4124500,3122500
43,1,1,2500-3000 €,7.324999999999999,4205500,2772500
48,1,1,1000-1500 €,5.795,4128500,3160500
48,0,0,4000-4500 €,5.84,4376500,2954500
30,0,0,3500-4000 €,5.29,4340500,2767500
40,1,0,1500-2000 €,8.48,4140500,2722500
45,1,1,3000-3500 €,4.9,4180500,3232500
49,1,1,< 1000 €,5.8149999999999995,4562500,3120500
41,1,1,4500-5000 €,4.785,4247500,3459500
39,0,0,1500-2000 €,8.23,4079500,2965500
54,0,0,> 5000 €,6.88,4190500,3012500
49,0,1,4500-5000 €,5.66,4292500,2972500
62,1,1,1500-2000 €,5.08,4201500,3139500
36,1,0,< 1000 €,6.46,4286500,3133500
48,0,1,2500-3000 €,5.805,4549500,3289500
53,1,1,2500-3000 €,5.365,4232500,3241500
49,1,1,1500-2000 €,5.595000000000001,4136500,3159500
37,1,1,4500-5000 €,8.685,4338500,3403500
52,0,1,> 5000 €,9.56,4392500,3175500
43,1,1,> 5000 €,6.04,4230500,2781500
50,1,1,4500-5000 €,4.27,4231500,3101500
47,0,1,> 5000 €,8.04,4527500,3276500
30,1,0,2500-3000 €,4.85,4282500,3427500
48,1,1,NA,NA,4284500,3020500
48,1,1,2000-2500 €,5.16,4476500,2938500
39,0,1,3500-4000 €,7.51,4246500,3329500
48,1,1,1500-2000 €,6.720000000000001,4513500,2764500
30,0,1,< 1000 €,6.74,4284500,3132500
46,0,1,3000-3500 €,5.11,4307500,3096500
40,1,1,1500-2000 €,6.6850000000000005,4208500,2761500
43,0,1,> 5000 €,6.01,4240500,2796500
43,1,1,4500-5000 €,7.6450000000000005,4250500,2992500
41,1,0,2000-2500 €,11.34,4318500,3384500
42,0,0,2500-3000 €,5.96,4389500,3376500
41,1,1,1500-2000 €,7.93,4317500,3157500
33,0,1,2000-2500 €,7.0649999999999995,4368500,2756500
35,1,1,2500-3000 €,6.78,4219500,2806500
31,0,1,2000-2500 €,11.595,4104500,3095500
44,0,1,3500-4000 €,14.69,4437500,2780500
38,1,0,4500-5000 €,7.745,4215500,2911500
39,1,1,4000-4500 €,7.3149999999999995,4470500,2901500
36,0,1,4500-5000 €,6.09,4174500,3086500
47,1,1,3000-3500 €,4.16,4639500,3221500
46,0,1,3500-4000 €,7.29,4146500,2766500
43,0,1,4000-4500 €,5.5600000000000005,4336500,2955500
45,1,1,4000-4500 €,6.68,4119500,3120500
46,1,1,> 5000 €,5.41,4450500,2922500
52,0,0,3500-4000 €,6.5,4378500,2908500
42,1,1,2500-3000 €,7.67,4263500,2889500
58,0,1,4000-4500 €,5.195,4352500,3165500
44,1,1,4500-5000 €,8.775,4551500,3255500
40,1,1,1500-2000 €,6.609999999999999,4086500,3153500
39,0,1,< 1000 €,5.805,4126500,3133500
42,0,1,< 1000 €,7.27,4537500,3273500
